,symbol,name,price,exchange
150,EBAY,eBay Inc,62.32,Nasdaq Global Select
151,HBAN,Huntington Bancshares Inc,15.3,Nasdaq Global Select
152,DB,Deutsche Bank AG,13.72,New York Stock Exchange
153,MRVL,Marvell Technology Group Ltd,46.8,Nasdaq Global Select
154,WBA,Walgreens Boots Alliance Inc,52.4,Nasdaq Global Select
155,CDNA,CareDx Inc,80.44,Nasdaq Global Market
156,RSX,VanEck Vectors Russia,26.63,New York Stock Exchange Arca
157,KNX,Knight-Swift Transportation Holdings Inc,46.3,New York Stock Exchange
158,KBH,KB Home,48.7,New York Stock Exchange
159,DISCK,Discovery Communications Inc.,31.96,Nasdaq Global Select
160,PGR,Progressive Corp,100.36,New York Stock Exchange
161,XLE,SPDR Select Sector Fund - Energy Select Sector,50.11,New York Stock Exchange Arca
162,MO,Altria Group Inc,47.18,New York Stock Exchange
163,MDT,Medtronic PLC,131.2,New York Stock Exchange
164,RIG,Transocean Ltd,3.41,New York Stock Exchange
165,BCS,Barclays PLC,10.63,New York Stock Exchange
166,CDEV,Centennial Resource Development Inc,4.47,Nasdaq Capital Market
167,EOG,EOG Resources Inc,74.98,New York Stock Exchange
168,XLP,SPDR Select Sector Fund - Consumer Staples,68.79,New York Stock Exchange Arca
169,HPE,Hewlett Packard Enterprise Co,16.15,New York Stock Exchange
170,TXN,Texas Instruments Inc,181.82,Nasdaq Global Select
171,OAS,Oasis Petroleum Inc,76.3,Nasdaq Global Select
172,OKE,ONEOK Inc,52.13,New York Stock Exchange
173,CVS,CVS Health Corp,75.4,New York Stock Exchange
174,SVXY,ProShares Short VIX Short Term Futures,50.45,New York Stock Exchange Arca
175,HES,Hess Corp,75.94,New York Stock Exchange
176,GDDY,GoDaddy Inc,87.95,New York Stock Exchange
177,BX,Blackstone Group Inc,89.03,New York Stock Exchange
178,NLSN,Nielsen Holdings PLC,25.59,New York Stock Exchange
179,TS,Tenaris S.A. American Depositary Shares,22.65,New York Stock Exchange
